"Identifier","Identifier ARK","Title#1","Creator#1","Creator#2","Subject#1","Date#1","Rights#1","ln_RECORDID","ln_MEDIAID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"newmanessay01.pdf","https://ark.colorado.edu/ark:/47540/qt1w3m25321s","Agricultural Planning and Social Change in Ukambani During the Late Colonial Period","","","","1975","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432633","125798","newmanmisc01.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432633~125798"
"newmanessay03.pdf","https://ark.colorado.edu/ark:/47540/fp726156426q","Assorted notes on J. Forbes Munro, ""Colonial Rule and the Kamba: Social Change in the Kenya Highlands, 1889-1939"" and Martin Hill, ""The Harambee Movement in Kenya: Self-Help, Development, and Education Among the Kamba of Kitui District""","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432642","125799","newmanmisc03.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432642~125799"
"newmanessay003.pdf","https://ark.colorado.edu/ark:/47540/jt9g3f29s3pt","Authority, Incongruity, & Organizational Patterns: some problems & themes in the study of the Kamba of Machakos and Kitui","Newman, Jeremy","","","12/15/1972","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432619","125775","newmanessay03.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432619~125775"
"newman018.pdf","https://ark.colorado.edu/ark:/47540/0c039p70s733","Canon Mute. Anglican Church Ukia. 1.3.74","Newman, Jeremy","Mute, Canon","","3/1/1974","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432535","125783","newman018.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432535~125783"
"newman021.pdf","https://ark.colorado.edu/ark:/47540/hq8c9f43p8pw","Cosmas Musau. 13.6.74. Kikoko, Kilungu Location.","Newman, Jeremy","Musau, Cosmas","","6/13/1974","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432553","125786","newman021.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432553~125786"
"newman010.pdf","https://ark.colorado.edu/ark:/47540/5g5p8z62x1xt","Elijah Mbondu. Tala Market. 26.11.73.","Newman, Jeremy","Mbondu, Elijah.","","11/26/1973","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432487","125771","newman010.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432487~125771"
"newman026.pdf","https://ark.colorado.edu/ark:/47540/54859n86v5km","Elijah Mutaki. Mbooni Location. Kiliku Section. 1.11.74","Newman, Jeremy","Mutaki, Elijah","","11/1/1974","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432583","125791","newman026.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432583~125791"
"newman017.pdf","https://ark.colorado.edu/ark:/47540/tw1t1888c0hv","Ex Senior Chief David Kaindi. Mbooni Location. 13.2.74","Newman, Jeremy","Kaindi, David","","2/13/1974","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432529","125782","newman017.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432529~125782"
"newman029.pdf","https://ark.colorado.edu/ark:/47540/7x474r72f72z","Ex-Chief John Mutua. Kiteta Location. 3.11.74","Newman, Jeremy","Mutua, John","","11/3/1974","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432601","125794","newman029.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432601~125794"
"newman014.pdf","https://ark.colorado.edu/ark:/47540/rs386191v078","Ex-Chief Kimuyu Mandi. Mukaa. 8.1.74","Newman, Jeremy","Mandi, Kimuyu","","1/8/1974","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432511","125779","newman014.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432511~125779"
"newman013.pdf","https://ark.colorado.edu/ark:/47540/ps5m0c5336wz","Ex-Chief Mukonzo. Kee, Kilungu Location. 4.1.74","Newman, Jeremy","Mukonzo","","1/4/1974","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432505","125778","newman013.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432505~125778"
"newman025.pdf","https://ark.colorado.edu/ark:/47540/5h022p29p0gj","Ex-Sargeant Major Nduba. Ngelani, Iveti Location. 31.8.74","Newman, Jeremy","Mwatu, Nduba","","8/31/1974","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432577","125790","newman025.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432577~125790"
"newmanessay002.pdf","https://ark.colorado.edu/ark:/47540/498x1v0780t7","First Steps in Rural Capitalism: Machakos Before the 2nd World War","Newman, Jeremy","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432624","125774","newmanessay02.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432624~125774"
"newman007.pdf","https://ark.colorado.edu/ark:/47540/z92d4v01621t","Interview with Elijah Mutambuuki. Tala Market. 1.7.1973","Newman, Jeremy","Mutambuuki, Elijah.","","7/1/1973","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432469","125768","newman007.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432469~125768"
"newman005.pdf","https://ark.colorado.edu/ark:/47540/wd1s2095s0bg","Interview with Ishmael Mwakabi Mwendwa. Tala market. 16.6.73","Newman, Jeremy","","Mwakabi Mendwa, Ishmael","6/16/1973","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/","432457","125766","newman005.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~62~62~432457~125766"
